ID_REF	NMB109	NMB110	NMB111	NMB113	NMB115	NMB116	NMB118	NMB119	NMB123	NMB125
cg18409528	0.908867403887563	0.897979542897936	0.954782919372748	0.0352461930902806	0.0284979939561082	0.0295033097904748	0.965773746812301	0.794259187527826	0.0270870339102291	0.931391690902487
cg14399369	0.908535020006258	0.868318975382306	0.937778961874671	0.026458497859351	0.0295125087604738	0.0385109660862389	0.960125453298222	0.716979675567928	0.03427639649428	0.905179765265185
cg08879470	0.94085486128853	0.937518470717318	0.966428986244495	0.035980410115556	0.0226811411388334	0.022303648337674	0.960624342368667	0.7708700222885	0.139949131929138	0.937766248450355
cg06539717	0.921953228300662	0.717546353565377	0.969422878621671	0.024074700811119	0.0169823303793698	0.0168040618015204	0.977217544975029	0.745092035287355	0.0176941763479023	0.933227442246086
cg16400631	0.0242529440463999	0.0632426127700337	0.0424278247797829	0.919918769641808	0.954580215043531	0.927506162683885	0.152748877549399	0.107198336068488	0.917003981179565	0.0244174749554235
cg19119945	0.953499376825152	0.299509230654953	0.938378690785482	0.040209881270618	0.0410326229703218	0.0402895120493085	0.796593210124822	0.776087435729118	0.0327931449984892	0.951370931099346
cg25324047	0.0393322907535704	0.0475322535384315	0.0446498405467783	0.911715092184764	0.94898573297318	0.893318634475078	0.038288842778802	0.142743368372944	0.85088590341359	0.0386496550095578
cg13539545	0.0219207539815582	0.0223188093091949	0.0306764703736277	0.0358001389420817	0.972471910878691	0.509846969877298	0.0304145844923232	0.62679339560658	0.0301341037083661	0.0223341867339241
cg10512745	0.927781465934795	0.0450552762791363	0.966807638676058	0.0318185614012102	0.0267025686296216	0.0218172653493669	0.106314340332437	0.641471041746097	0.024199323236517	0.0286264669073167
cg20820767	0.0341977813283048	0.0206619754587869	0.32912903890313	0.937822988548033	0.971794543139649	0.826515202166747	0.0151110378966798	0.323792440190909	0.766585963981289	0.0196909126848354
